UOF #,CAD#,Offense,Disposition,Date,Sex,Race,Age,Charges,Dialog,HandStrike,Vertical Stun,Decentralizatio,Forearm Strike,Batons,Wrist Compressio,KneeStrke,Less than Lethal,OC,FootStrike,K9Bite,Pressure Points,DiffusedStrike,Firearm,Conducted Energy Device,Other,Alcohol Use,Drug
UOF18-009B,BE1803518,Resist or Interfere w/Police,Criminal Arrest,2018-01-28,F,B,33.0,Resist / Obstruct an Officer,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Escort Hold,No,No
UOF18-010A,BE1803669,"Warrant - Bench,AWC",Criminal Arrest,2018-01-29,F,W,27.0,AWC's & Resist / Obstruct,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,No,No
UOF18-010B,BE1803669,"Warrant - Bench,AWC",Criminal Arrest,2018-01-29,F,W,27.0,AWC's & Resist / Obstruct,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,No,No
UOF18-011,BE1803440,OWI Alcohol or Drugs,Criminal Arrest,2018-01-27,M,W,25.0,OWI 2nd,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,Yes,No
UOF18-012A,BE1803867,5145 Alcohol Commitment,Emergency Detention Arrest,2018-01-30,M,W,56.0,51.35 Comittment,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Forced Handcuffing,Yes,No
UOF18-012B,BE1803867,5145 Alcohol Commitment,Emergency Detention Arrest,2018-01-30,M,W,56.0,51.35 Comittment,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,Yes,No
UOF18-013A,BE1804330,Disorderly Conduct,Emergency Detention Arrest,2018-02-02,M,W,41.0,DC while Armed and Criminal Damage to Property / 51.45 commitment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Escort, Forced Handcuffing",Yes,No
UOF18-013B,BE1804330,Disorderly Conduct,Emergency Detention Arrest,2018-02-02,M,W,41.0,DC while Armed and Criminal Damage to Property / 51.45 commitment,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Escort, Forced Handcuffing",Yes,No
UOF18-013C,BE1804330,Disorderly Conduct,Emergency Detention Arrest,2018-02-02,M,W,41.0,DC while Armed and Criminal Damage to Property / 51.45 commitment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Escort, Forced Handcuffing",Yes,No
UOF18-014A,BE1804350,Disorderly Conduct,Criminal Arrest,2018-02-03,F,B,27.0,Disorderly Conduct,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-014B,BE1804350,Disorderly Conduct,Criminal Arrest,2018-02-03,F,B,27.0,Disorderly Conduct,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-014C,BE1804350,Disorderly Conduct,Criminal Arrest,2018-02-03,F,B,27.0,Disorderly Conduct,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-015A,BE1804475,OWI Alcohol or Drugs,Criminal Arrest,2018-02-04,F,W,27.0,OWI,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-015B,BE1804475,OWI Alcohol or Drugs,Criminal Arrest,2018-02-04,F,W,27.0,OWI,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-016A,BE1805023,5145 Alcohol Commitment,Criminal Arrest,2018-02-07,M,W,27.0,Resist / Obstruct,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-016B,BE1805023,5145 Alcohol Commitment,Criminal Arrest,2018-02-07,M,W,27.0,Resist / Obstruct,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,No
UOF18-016C,BE1805023,5145 Alcohol Commitment,Criminal Arrest,2018-02-07,M,W,27.0,Resist / Obstruct,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-019A,BE1805981,Runaway,Criminal Arrest,2018-02-14,M,W,14.0,"Runaway, Resist/Obstruct, Possess Tobacco under 18",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Forced Handcuffing, Forced Escort",No,No
UOF18-019B,BE1805981,Runaway,Criminal Arrest,2018-02-14,M,W,14.0,"Runaway, Resist/Obstruct, Possess Tobacco under 18",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Forced Handcuffing, Forced Escort",No,No
UOF18-020,BE1806128,Animal Problem,No Arrest,2018-02-15,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Euthanized Deer,No,No
UOF18-021A,BE1806157,"Assault, Police, Agg Injury",Criminal Arrest,2018-02-15,F,B,26.0,"Cause Substantial Injury to Police Officer, BE1806142 - Felony Theft Warrant out of Minn.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing",Yes,No
UOF18-021B,BE1806157,"Assault, Police, Agg Injury",Criminal Arrest,2018-02-15,F,B,26.0,"Cause Substantial Injury to Police Officer, BE1806142 - Felony Theft Warrant out of Minn.",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing",Yes,No
UOF18-021C,BE1806157,"Assault, Police, Agg Injury",Criminal Arrest,2018-02-15,F,B,26.0,"Cause Substantial Injury to Police Officer, BE1806142 - Felony Theft Warrant out of Minn.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing",Yes,No
UOF18-021D,BE1806157,"Assault, Police, Agg Injury",Criminal Arrest,2018-02-15,F,B,26.0,"Cause Substantial Injury to Police Officer, BE1806142 - Felony Theft Warrant out of Minn.",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing",Yes,No
UOF18-022A,BE1806319,Domestic Violence,Criminal Arrest,2018-02-16,M,W,28.0,"DV Disorderly Conduct, Resist/Obstruct, Probation Violation",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,Yes,No
UOF18-022B,BE1806319,Domestic Violence,Criminal Arrest,2018-02-16,M,W,28.0,"DV Disorderly Conduct, Resist/Obstruct, Probation Violation",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,Yes,No
UOF18-022C,BE1806319,Domestic Violence,Criminal Arrest,2018-02-16,M,W,28.0,"DV Disorderly Conduct, Resist/Obstruct, Probation Violation",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,Yes,No
UOF18-023A,BE1806339,Resist or Interfere w/Police,Criminal Arrest,2018-02-17,M,W,26.0,"Resist/Obstruct, OWI, H&R",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-023B,BE1806339,Resist or Interfere w/Police,Criminal Arrest,2018-02-17,M,W,26.0,"Resist/Obstruct, OWI, H&R",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-023C,BE1806339,Resist or Interfere w/Police,Criminal Arrest,2018-02-17,M,W,26.0,"Resist/Obstruct, OWI, H&R",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-024A,BE1806449,Domestic Violence,Criminal Arrest,2018-02-18,M,W,32.0,"DV Battery, DV Disorderly Conduct",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-024B,BE1806449,Domestic Violence,Criminal Arrest,2018-02-18,M,W,32.0,"DV Battery, DV Disorderly Conduct",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Escort hold,Yes,No
UOF18-025A,BE1806466,Domestic Violence,Criminal Arrest,2018-02-18,M,W,29.0,DV Disorderly Conduct,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Escort Hold, Stabilization",No,No
UOF18-025B,BE1806466,Domestic Violence,Criminal Arrest,2018-02-18,M,W,29.0,DV Disorderly Conduct,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Escort Hold, Stabilization",No,No
UOF18-025C,BE1806466,Domestic Violence,Criminal Arrest,2018-02-18,M,W,29.0,DV Disorderly Conduct,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Escort Hold, Stabilization",No,No
UOF18-027,BE1806942,Disorderly Conduct,Criminal Arrest,2018-02-21,M,W,40.0,Disorderly Conduct,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Pushed to ground,Yes,No
UOF18-028A,BE1807831,Resist or Interfere w/Police,Criminal Arrest,2018-02-27,M,B,36.0,"Disorderly Conduct, Resisting Officer, Loud Music Ord.",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing, Had to carry Subject",No,No
UOF18-028B,BE1807831,Resist or Interfere w/Police,Criminal Arrest,2018-02-27,M,B,36.0,"Disorderly Conduct, Resisting Officer, Loud Music Ord.",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing, Had to carry Subject",No,No
UOF18-028C,BE1807831,Resist or Interfere w/Police,Criminal Arrest,2018-02-27,M,B,36.0,"Disorderly Conduct, Resisting Officer, Loud Music Ord.",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing, Had to carry Subject",No,No
UOF18-028D,BE1807831,Resist or Interfere w/Police,Criminal Arrest,2018-02-27,M,B,36.0,"Disorderly Conduct, Resisting Officer, Loud Music Ord.",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Stabilization, Forced Handcuffing, Had to carry Subject",No,No
UOF18-029,BE1807914,"Assault, Police, Simple",Juvenile Referral,2018-02-28,M,L,11.0,"Battery to LE, Disorderly Conduct",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Scholl Security Decentralized,No,No
UOF18-030A,BE1807979,5115 Mental Commitment,No Arrest,2018-02-28,M,W,14.0,51.15 that turned voluntary mental health placement,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Forced Cuffing, Carried to squad",No,No
UOF18-030B,BE1807979,5115 Mental Commitment,No Arrest,2018-02-28,M,W,14.0,51.15 that turned voluntary mental health placement,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Forced Cuffing, Carried to squad",No,No
UOF18-031,BE1806889,"Theft, Prop, Shoplifting",Criminal Arrest,2018-02-21,M,W,36.0,Retail Theft,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stablization against vehicle,No,No
UOF18-032,BE1808285,"Traffic Accident, Prop Damage",No Arrest,2018-03-03,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,No
UOF18-033A,BE1808743,"Traffic Accident, Hit and Run",Criminal Arrest,2018-03-06,F,W,20.0,"Vehicle Operator Flee/Elude Officer, Resist/Obstruct Officer, Hit and Run",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,No,No
UOF18-033B,BE1808743,"Traffic Accident, Hit and Run",Criminal Arrest,2018-03-06,F,W,20.0,"Vehicle Operator Flee/Elude Officer, Resist/Obstruct Officer, Hit and Run",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Forced Handcuffing,No,No
UOF18-034A,BE1808860,Animal Problem,No Arrest,2018-03-07,F,W,17.0,None - Detained,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Escort Hold, forced handcuffing, stabilization",No,No
UOF18-034B,BE1808860,Animal Problem,No Arrest,2018-03-07,F,W,17.0,None - Detained,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Escort Hold, forced handcuffing, stabilization",No,No
UOF18-034C,BE1808860,Animal Problem,No Arrest,2018-03-07,F,W,17.0,None - Detained,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-035A,BE1809292,Resist or Interfere w/Police,Criminal Arrest,2018-03-10,M,B,20.0,"Resist / Obstruct causing Injury to Police Officer, AWC Non-Registration of vehicle, AWC Operating While Suspended, Probation Hold",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Compliance Hold,No,No
UOF18-035B,BE1809292,Resist or Interfere w/Police,Criminal Arrest,2018-03-10,M,B,20.0,"Resist / Obstruct causing Injury to Police Officer, AWC Non-Registration of vehicle, AWC Operating While Suspended, Probation Hold",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Compliance Hold,No,No
UOF18-036A,BE1809357,Drug Investigation,Criminal Arrest,2018-03-11,M,W,15.0,"Possession THC, Disorderly Conduct, Resist / Obstruct Officer, Possession of Drug Paraphernalia",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Escort Hold,No,Yes
UOF18-036B,BE1809357,Drug Investigation,Criminal Arrest,2018-03-11,M,W,15.0,"Possession THC, Disorderly Conduct, Resist / Obstruct Officer, Possession of Drug Paraphernalia",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Escort Hold,No,Yes
UOF18-036C,BE1809357,Drug Investigation,Criminal Arrest,2018-03-11,M,W,15.0,"Possession THC, Disorderly Conduct, Resist / Obstruct Officer, Possession of Drug Paraphernalia",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Escort Hold,No,Yes
UOF18-036D,BE1809357,Drug Investigation,Criminal Arrest,2018-03-11,M,W,15.0,"Possession THC, Disorderly Conduct, Resist / Obstruct Officer, Possession of Drug Paraphernalia",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Escort Hold,No,Yes
UOF18-037,BE1809370,DV-Disorderly Conduct,Criminal Arrest,2018-03-11,M,W,45.0,DV DC,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Escort Hold, Stabilization",No,No
UOF18-038,BE1809466,Disorderly Conduct,No Arrest,2018-03-12,M,B,10.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Push, school trained NVIC stabilization",No,No
UOF18-039A,BE1810214,Check Welfare,No Arrest,2018-03-17,m,w,9.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-039B,BE1810214,Check Welfare,No Arrest,2018-03-17,m,w,9.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-039C,BE1810214,Check Welfare,No Arrest,2018-03-17,m,w,9.0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-040A,BE1810169,Assist Othr Jurisdiction,Ordinance Arrest,2018-03-17,m,b,27.0,"
Georgio R. Beard D7804SFB4W Resist/Obstruct an Officer 946.41(1)/15.01 kn1781
     03/17/18",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,Yes
UOF18-040B,BE1810169,Assist Othr Jurisdiction,Ordinance Arrest,2018-03-17,m,b,27.0,"
Georgio R. Beard D7804SFB4W Resist/Obstruct an Officer 946.41(1)/15.01 kn1781
     03/17/18",Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Stabilization,Yes,Yes
UOF18-040C,BE1810169,Assist Othr Jurisdiction,Ordinance Arrest,2018-03-17,m,b,27.0,"
Georgio R. Beard D7804SFB4W Resist/Obstruct an Officer 946.41(1)/15.01 kn1781
     03/17/18",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,Yes
UOF18-041A,BE1810679,Domestic Violence,Criminal Arrest,2018-03-20,M,W,25.0,"Domestic Disorderly Conduct  
 Domestic Criminal Trespass to Dwelling 
 Resist/Obstruct  (2) counts Misd. Bail Jumping",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-041B,BE1810679,Domestic Violence,Criminal Arrest,2018-03-20,M,W,25.0,"Domestic Disorderly Conduct  
 Domestic Criminal Trespass to Dwelling 
 Resist/Obstruct  (2) counts Misd. Bail Jumping",No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Stabilization,No,No
UOF18-041C,BE1810679,Domestic Violence,Criminal Arrest,2018-03-20,M,W,25.0,"Domestic Disorderly Conduct  
 Domestic Criminal Trespass to Dwelling 
 Resist/Obstruct  (2) counts Misd. Bail Jumping",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-041D,BE1810679,Domestic Violence,Criminal Arrest,2018-03-20,M,W,25.0,"Domestic Disorderly Conduct  
 Domestic Criminal Trespass to Dwelling 
 Resist/Obstruct  (2) counts Misd. Bail Jumping",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-041E,BE1810679,Domestic Violence,Criminal Arrest,2018-03-20,M,W,25.0,"Domestic Disorderly Conduct  
 Domestic Criminal Trespass to Dwelling 
 Resist/Obstruct  (2) counts Misd. Bail Jumping",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-042A,BE1810832,Resist or Interfere w/Police,Criminal Arrest,2018-03-22,M,W,29.0,"Resist/Obstructing, state warrant",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No
UOF18-042B,BE1810832,Resist or Interfere w/Police,Criminal Arrest,2018-03-22,M,W,29.0,"Resist/Obstructing, state warrant",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Compliance Hold,No,No
UOF18-043A,BE1811301,OWI Alcohol or Drugs,Ordinance Arrest,2018-03-25,M,W,42.0,"OWI, Possession of drug paraphernalia",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,Yes
UOF18-043B,BE1811301,OWI Alcohol or Drugs,Ordinance Arrest,2018-03-25,M,W,42.0,"OWI, Possession of drug paraphernalia",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,Yes
UOF18-045A,BE1812329,5145 Alcohol Commitment,Emergency Detention Arrest,2018-04-03,m,w,21.0,51.45 Emergency Detention,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes
UOF18-045B,BE1812329,5145 Alcohol Commitment,Emergency Detention Arrest,2018-04-03,m,w,21.0,51.45 Emergency Detention,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes
UOF18-046A,BE1812583,51.15,Emergency Detention Arrest,2018-04-04,f,w,40.0,51.15 commitement,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No
UOF18-046B,BE1812583,51.15,Emergency Detention Arrest,2018-04-04,f,w,40.0,51.15 commitment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Firearm pointed at subject,No,No
UOF18-047,BE1811461,"Fraud, Gas/Restaurant/Othr",,2018-03-29,M,W,21.0,OMV W/O OC & Fraud on Inn Keeper,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-048A,BE1812996,Alcohol Offense,,2018-04-07,M,W,27.0,Emergency Detention S.S. 51,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-048B,BE1812996,Alcohol Offense,,2018-04-07,M,W,27.0,Emergency Detention S.S. 51,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,Yes,No
UOF18-048C,BE1812996,Alcohol Offense,,2018-04-07,M,W,27.0,Emergency Detention S.S. 51,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,No
UOF18-049A,BE1813487,"Assault, Police, Simple",Criminal Arrest,2018-04-11,F,W,31.0,"Warrants, Battery to a Peace Officer, Resisting arrast",Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,stabilization,Yes,No
UOF18-049B,BE1813487,"Assault, Police, Simple",Criminal Arrest,2018-04-11,F,W,31.0,"Warrants, Battery to a Peace Officer, Resisting arrast",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,stabilization,Yes,No
UOF18-050,BE1813761,Disorderly Conduct,No Arrest,2018-04-13,M,B,12.0,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-051A,BE1814330,5115 Mental Commitment,Emergency Detention Arrest,2018-04-18,M,W,31.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-051B,BE1814330,5115 Mental Commitment,Emergency Detention Arrest,2018-04-18,M,W,31.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-052,BE1813938,Disorderly Conduct,Criminal Arrest,2018-04-15,M,W,25.0,DC,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,Yes,No
UOF18-053A,BE1815154,5115 Mental Commitment,Emergency Detention Arrest,2018-04-24,m,w,34.0,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes
UOF18-053B,BE1815154,5115 Mental Commitment,Emergency Detention Arrest,2018-04-24,m,w,34.0,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,passive countermeasures,Yes,Yes
UOF18-053C,BE1815154,5115 Mental Commitment,Emergency Detention Arrest,2018-04-24,m,w,34.0,,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,passive countermeasures,Yes,Yes
UOF18-054,BE1818365,Warrant Arrest,Criminal Arrest,2018-05-15,F,B,30.0,Warrant arrest.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
UOF18-056,BE1816181,Disorderly Conduct,Ordinance Arrest,2018-04-30,F,B,16.0,DC,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-057,BE1816810,DV DC,Criminal Arrest,2018-05-04,M,W,54.0,DV DC,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,stabilization,Yes,No
UOF18-058A,BE1817353,5115 Mental Commitment,Emergency Detention Arrest,2018-05-08,M,B,22.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive countermeasures,No,No
UOF18-058B,BE1817353,5115 Mental Commitment,Emergency Detention Arrest,2018-05-08,M,B,22.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive countermeasures,No,No
UOF18-058C,BE1817353,5115 Mental Commitment,Emergency Detention Arrest,2018-05-08,M,B,22.0,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive countermeasures,No,No
UOF18-059A,BE1818240,"Robbery, Othr Weap, Misc",Criminal Arrest,2018-05-14,M,W,40.0,Attempt armed robbery,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-059B,BE1818240,"Robbery, Othr Weap, Misc",Criminal Arrest,2018-05-14,M,W,40.0,Attempt armed robbery,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No
UOF18-060A,BE1818414,5115 Mental Commitment,Emergency Detention Arrest,2018-05-16,M,B,14.0,5115 Mental Commitment,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-060B,BE1818414,5115 Mental Commitment,Emergency Detention Arrest,2018-05-16,M,B,14.0,5115 Mental Commitment,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-060C,BE1818414,5115 Mental Commitment,Emergency Detention Arrest,2018-05-16,M,B,14.0,5115 Mental Commitment,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-060D,BE1818414,5115 Mental Commitment,Emergency Detention Arrest,2018-05-16,M,B,14.0,5115 Mental Commitment,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-060E,BE1818414,5115 Mental Commitment,Emergency Detention Arrest,2018-05-16,M,B,14.0,5115 Mental Commitment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Stabilization,No,No
UOF18-061,BE1818932,Obstructing Justice,Ordinance Arrest,2018-05-19,F,B,26.0,Resisting/Obstructing,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Passive Countermeasures,Yes,No
UOF18-062,BE1816264,Animal Problem,No Arrest,2018-05-01,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,OC spray to stop two dogs from fighting,No,No
UOF18-063A,BE1819917,Disorderly Conduct,Criminal Arrest,2018-05-25,F,B,24.0,Resisting/ Obstructing  DC,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,stabilization,No,No
UOF18-063B,BE1819917,Disorderly Conduct,Criminal Arrest,2018-05-25,F,B,24.0,Resisitng/ Obstructing  DC,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,stabilization,No,No
